Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"159,1000","-0,25","164,2000","158,8000",162.844,"26.128,33",04/11/2021,Cierre
ACERINOX,"11,3800","0,35","11,5450","11,2350",2.479.121,"28.224,37",04/11/2021,Cierre
ACS,"22,2600","-1,02","22,9100","22,2600",2.472.807,"55.222,41",04/11/2021,Cierre
AENA,"146,0000","0,21","147,1000","144,7500",93.683,"13.677,10",04/11/2021,Cierre
ALMIRALL,"12,6700","-0,47","12,8200","12,6700",276.783,"3.519,35",04/11/2021,Cierre
AMADEUS,"59,1600","0,96","59,2600","57,8200",902.020,"53.036,42",04/11/2021,Cierre
ARCELORMIT.,"28,4150","-0,56","28,9800","28,3050",349.120,"9.990,34",04/11/2021,Cierre
B.SANTANDER,"3,2375","-2,19","3,3270","3,2160",144.545.366,"474.829,99",04/11/2021,Cierre
BA.SABADELL,"0,6696","-2,87","0,6990","0,6650",37.715.885,"25.868,23",04/11/2021,Cierre
BANKINTER,"4,8780","-0,51","5,0140","4,8500",2.545.036,"12.537,32",04/11/2021,Cierre
BBVA,"6,0400","-2,31","6,2600","6,0050",37.116.283,"226.595,07",04/11/2021,Cierre
CAIXABANK,"2,4670","-1,83","2,5190","2,4670",15.272.833,"37.978,17",04/11/2021,Cierre
CELLNEX,"53,3200","3,61","53,6400","51,1400",4.194.977,"219.205,31",04/11/2021,Cierre
CIE AUTOMOT.,"24,4000","3,57","24,4000","23,8000",718.941,"17.502,75",04/11/2021,Cierre
ENAGAS,"19,9200","0,50","20,0600","19,7950",907.171,"18.081,28",04/11/2021,Cierre
ENDESA,"19,7650","-1,18","19,9550","19,2500",2.203.172,"43.468,74",04/11/2021,Cierre
FERROVIAL,"27,0400","0,82","27,2300","26,8300",901.072,"24.356,53",04/11/2021,Cierre
FLUIDRA,"33,3000","5,38","33,3000","32,0000",749.139,"24.743,14",04/11/2021,Cierre
GRIFOLS CL.A,"18,8500","-2,33","19,3750","18,8000",1.370.867,"26.016,45",04/11/2021,Cierre
IAG,"1,9740","0,20","2,0230","1,9640",13.066.414,"26.074,12",04/11/2021,Cierre
IBERDROLA,"10,2050","0,64","10,2250","9,9940",10.088.188,"102.717,33",04/11/2021,Cierre
INDITEX,"32,1900","2,22","32,1900","31,4800",13.110.295,"416.406,00",04/11/2021,Cierre
INDRA A,"10,6900","2,00","10,7000","10,4800",732.583,"7.781,88",04/11/2021,Cierre
INM.COLONIAL,"8,4900","2,85","8,5200","8,3000",609.230,"5.159,23",04/11/2021,Cierre
MAPFRE,"1,9140","-1,09","1,9510","1,8815",14.052.342,"26.888,41",04/11/2021,Cierre
MELIA HOTELS,"6,3840","0,09","6,4860","6,3380",659.635,"4.238,29",04/11/2021,Cierre
MERLIN,"9,4720","1,98","9,5600","9,2980",507.785,"4.808,06",04/11/2021,Cierre
NATURGY,"23,3600","0,95","23,6000","23,1500",521.179,"12.196,15",04/11/2021,Cierre
PHARMA MAR,"61,5400","-1,54","63,3000","61,3800",100.858,"6.261,37",04/11/2021,Cierre
R.E.C.,"18,2300","0,36","18,3000","18,0950",1.214.613,"22.138,16",04/11/2021,Cierre
REPSOL,"10,7200","0,00","10,9600","10,6680",5.224.000,"56.318,82",04/11/2021,Cierre
SIEMENS GAME,"19,3800","-1,27","20,0300","19,3800",2.510.936,"49.195,73",04/11/2021,Cierre
SOLARIA,"16,0250","1,55","16,3600","15,5700",833.322,"13.338,68",04/11/2021,Cierre
TELEFONICA,"3,6640","-2,35","3,7595","3,6135",32.537.466,"119.520,76",04/11/2021,Cierre
VISCOFAN,"59,7000","2,93","59,9000","58,7000",121.576,"7.234,28",04/11/2021,Cierre
