Símbolo,Nombre,Último precio,Cambio,Cambio de %,Volumen,Intradía alto/bajo,52 semanas,Gráfica de días
^IBEX,IBEX 35,"9.039,40","+8,60","+0,10%","221,407M",,,
^GSPC,S&P 500,"4.680,06","+19,49","+0,42%","2,558B",,,
^DJI,Dow Jones Industrial Average,"36.124,23","-33,35","-0,09%","309,994M",,,
^IXIC,Nasdaq,"15.940,31","+128,72","+0,81%","4,667B",,,
^FTSE,FTSE 100,"7.279,91","+31,02","+0,43%",0,,,
^FCHI,CAC 40,"6.987,79","+37,14","+0,53%",0,,,
^GDAXI,DAX PERFORMANCE-INDEX,"16.029,65","+69,67","+0,44%",0,,,
^STOXX50E,ESTX 50 PR.EUR,"4.333,34","+23,73","+0,55%",0,,,
^N225,NIKKEI 225,"29.794,37","+273,47","+0,93%",0,,,
^HSI,HANG SENG INDEX,"25.225,19","+200,44","+0,80%",0,,,
^BVSP,IBOVESPA,"103.412,09","-2.204,79","-2,09%",0,,,
^MXX,IPC MEXICO,"51.873,46","-3,35","-0,01%","182,212M",,,
^IPSA,S&P/CLX IPSA,"5.058,88","0,00","0,00%",0,,,
^BVSP,IBOVESPA,"103.412,09","-2.204,79","-2,09%",0,,,
^N100,Euronext 100 Index,"1.366,11","+7,81","+0,57%",0,,,
^BFX,BEL 20,"4.402,32","+33,09","+0,76%",0,,,
^ATX,Austrian Traded Index in EUR,"3.845,42","+15,12","+0,39%",0,,,
^OMXC20,OMX Copenhagen 20,"1.884,08","+19,75","+1,06%",0,,,
^OSEAX,Oslo Bors All-Share Index_GI,"1.017,37","+10,49","+1,04%","371,464M",,,
FTSEMIB.MI,FTSE MIB Index,"27.522,05","+144,18","+0,53%",0,,,
^OMXSPI,OMX Stockholm_PI,"995,77","+10,14","+1,03%",0,,,
^SSMI,SMI PR,"12.403,05","+19,78","+0,16%",0,,,
^GSPC,S&P 500,"4.680,06","+19,49","+0,42%","2,558B",,,
^JKSE,Jakarta Composite Index,"6.586,44","+34,31","+0,52%",0,,,
^KS11,KOSPI Composite Index,"2.983,22","+7,51","+0,25%",772.023,,,
^TWII,TSEC weighted index,"17.078,86","-43,30","-0,25%",0,,,
^TA125.TA,TA-125,"1.971,56","+4,95","+0,25%",0,,,
INDC.MC,IBEX MEDIUM CAP...,"13.855,10","-12,60","-0,09%","26,64M",,,
INDS.MC,IBEX SMALL CAP...,"8.331,70","+16,90","+0,20%","190,753M",,,
INDD.MC,IBEX TOP DIVIDENDO...,"2.528,20","-15,30","-0,60%","157,707M",,,
^KLSE,FTSE Bursa Malaysia KLCI,"1.531,33","-6,30","-0,41%",0,,,
^NZ50,S&P/NZX 50 INDEX GROSS,"13.001,79","+57,85","+0,45%",0,,,
^CASE30,EGX 30 Price Return Index,"11.612,80","-72,30","-0,62%","51,084M",,,
^JN0U.JO,Top 40 USD Net TRI Index,"4.340,74","+33,19","+0,77%",0,,,
